Country,Employment,FormalEducation,DevType,YearsCodingProf,EducationTypes,Age,Salary,ConvertedSalary
India,Employed full-time,Medium,Back-end developer,5,"Taught yourself a new language, framework, or tool without taking a formal course",30,34000.0,6384.0
United States,Employed full-time,Medium,Mobile developer,5,Received on-the-job training in software development,30,150150.0,150150.0
India,Employed full-time,High,Back-end developer,7,"Taught yourself a new language, framework, or tool without taking a formal course",30,50000.0,9396.0
United States,Employed full-time,Medium,Back-end developer,1,Taken an online course in programming or software development (e.g. a MOOC),30,63000.0,63000.0
United States,Employed full-time,Medium,Engineering manager,25,"Taught yourself a new language, framework, or tool without taking a formal course",50,127000.0,127000.0
India,Employed full-time,Low,Back-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),21,500000.0,7827.0
United Kingdom,Employed full-time,Medium,Back-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),30,61000.0,84731.0
United States,Employed full-time,Medium,Back-end developer,13,Completed an industry certification program (e.g. MCPD),40,130000.0,130000.0
India,Employed full-time,High,Back-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),30,2100000.0,32874.0
India,Employed full-time,High,Back-end developer,5,"Taught yourself a new language, framework, or tool without taking a formal course",30,40000.0,7512.0
India,Employed full-time,Medium,Back-end developer,1,Taken a part-time in-person course in programming or software development,21,10000.0,1884.0
Germany,Employed full-time,High,Back-end developer,5,Received on-the-job training in software development,30,50000.0,61194.0
United Kingdom,Employed full-time,Medium,Back-end developer,16,Taken an online course in programming or software development (e.g. a MOOC),40,75000.0,104178.0
Germany,Employed full-time,Medium,Front-end developer,10,"Taught yourself a new language, framework, or tool without taking a formal course",30,56000.0,68537.0
United States,Employed full-time,High,Back-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),30,85000.0,85000.0
United Kingdom,Employed full-time,High,Back-end developer,7,Taken a part-time in-person course in programming or software development,30,44000.0,61118.0
United States,Employed full-time,Medium,Desktop or enterprise applications developer,5,Taken an online course in programming or software development (e.g. a MOOC),30,175000.0,175000.0
United States,Employed full-time,Medium,Front-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),30,58000.0,58000.0
United States,Employed part-time,Medium,Data or business analyst,1,Taken an online course in programming or software development (e.g. a MOOC),21,30000.0,30000.0
