Country,Employment,FormalEducation,DevType,YearsCodingProf,EducationTypes,Age,Salary,ConvertedSalary
Germany,Employed full-time,High,Desktop or enterprise applications developer,19,Participated in a full-time developer training program or bootcamp,60,53000.0,64866.0
Germany,Employed full-time,Medium,Back-end developer,7,Taken a part-time in-person course in programming or software development,30,60000.0,73433.0
United States,Employed full-time,Medium,Back-end developer,1,Taken an online course in programming or software development (e.g. a MOOC),30,64000.0,2000000.0
India,Employed full-time,High,Back-end developer,5,Received on-the-job training in software development,30,43350.0,8148.0
United States,Employed full-time,Medium,Back-end developer,13,Participated in a full-time developer training program or bootcamp,40,120000.0,120000.0
United States,Employed full-time,High,Data or business analyst,1,"Taught yourself a new language, framework, or tool without taking a formal course",30,115.0,115.0
United Kingdom,Employed full-time,Medium,Back-end developer,1,"Taught yourself a new language, framework, or tool without taking a formal course",21,30000.0,41671.0
Canada,Employed part-time,Low,Back-end developer,1,"Taught yourself a new language, framework, or tool without taking a formal course",21,250.0,10050.0
Germany,Employed full-time,Medium,Back-end developer,13,"Taught yourself a new language, framework, or tool without taking a formal course",40,4000.0,58752.0
United States,Employed full-time,Medium,Back-end developer,7,Participated in a full-time developer training program or bootcamp,30,100000.0,100000.0
Germany,Employed full-time,High,Back-end developer,10,Taken an online course in programming or software development (e.g. a MOOC),30,70000.0,85671.0
United States,Employed full-time,High,Back-end developer,22,Taken an online course in programming or software development (e.g. a MOOC),60,150000.0,150000.0
United States,Employed full-time,Medium,Back-end developer,28,Taken an online course in programming or software development (e.g. a MOOC),50,79000.0,79000.0
Canada,Employed full-time,Medium,Full-stack developer,13,Taken a part-time in-person course in programming or software development,50,75000.0,724692.0
United States,Employed full-time,Medium,Engineering manager,19,"Taught yourself a new language, framework, or tool without taking a formal course",40,150000.0,150000.0
United Kingdom,Employed full-time,Low,Back-end developer,28,"Taught yourself a new language, framework, or tool without taking a formal course",50,45000.0,62507.0
India,Employed full-time,Medium,Back-end developer,7,Received on-the-job training in software development,30,50450.0,9480.0
United Kingdom,Employed full-time,Medium,Back-end developer,7,Taken an online course in programming or software development (e.g. a MOOC),30,47000.0,65285.0
India,Employed full-time,Medium,Back-end developer,1,"Taught yourself a new language, framework, or tool without taking a formal course",21,30000.0,5640.0
India,Employed full-time,High,Mobile developer,5,"Taught yourself a new language, framework, or tool without taking a formal course",30,666000.0,10426.0
United Kingdom,Employed full-time,High,Data or business analyst,1,"Taught yourself a new language, framework, or tool without taking a formal course",21,32000.0,44449.0
Germany,Employed full-time,High,Back-end developer,10,Participated in a full-time developer training program or bootcamp,40,6000.0,88116.0
United States,Employed full-time,Medium,Back-end developer,16,Taken an online course in programming or software development (e.g. a MOOC),40,87000.0,87000.0
India,Employed full-time,High,Mobile developer,5,Taken an online course in programming or software development (e.g. a MOOC),30,26000.0,4884.0
United States,Employed full-time,High,Back-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),30,60000.0,60000.0
Germany,Employed full-time,Medium,Full-stack developer,7,Completed an industry certification program (e.g. MCPD),40,45000.0,55075.0
United States,Employed full-time,Medium,Front-end developer,1,"Taught yourself a new language, framework, or tool without taking a formal course",21,53000.0,53000.0
United States,Employed full-time,Medium,Back-end developer,5,"Taught yourself a new language, framework, or tool without taking a formal course",30,61000.0,732000.0
United Kingdom,Employed full-time,Low,Back-end developer,1,Taken an online course in programming or software development (e.g. a MOOC),21,13500.0,225024.0
India,Employed full-time,Medium,Back-end developer,5,"Taught yourself a new language, framework, or tool without taking a formal course",30,1000000.0,15654.0
United States,Employed full-time,Medium,Back-end developer,13,"Taught yourself a new language, framework, or tool without taking a formal course",30,140000.0,140000.0
United Kingdom,Employed full-time,Low,Back-end developer,1,"Taught yourself a new language, framework, or tool without taking a formal course",30,26000.0,36115.0
United States,Employed full-time,Medium,Engineering manager,10,Taken an online course in programming or software development (e.g. a MOOC),30,117000.0,117000.0
Canada,Employed full-time,Medium,Back-end developer,1,Received on-the-job training in software development,30,70000.0,56365.0
Germany,Employed part-time,Medium,Back-end developer,5,"Taught yourself a new language, framework, or tool without taking a formal course",21,400.0,5880.0
Germany,Employed full-time,Medium,Back-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),21,54000.0,66089.0
United States,Employed full-time,High,Back-end developer,19,Taken an online course in programming or software development (e.g. a MOOC),40,250000.0,250000.0
United States,Employed full-time,Medium,"C-suite executive (CEO, CTO, etc.)",22,Taken an online course in programming or software development (e.g. a MOOC),40,303000.0,303000.0
India,Employed full-time,Medium,Back-end developer,1,"Taught yourself a new language, framework, or tool without taking a formal course",30,32119.0,6036.0
United States,Employed full-time,High,Data scientist or machine learning specialist,5,Taken an online course in programming or software development (e.g. a MOOC),30,194600.0,194600.0
Germany,Employed full-time,Low,Front-end developer,13,Taken an online course in programming or software development (e.g. a MOOC),40,5200.0,76368.0
United States,Employed full-time,Medium,Back-end developer,13,"Taught yourself a new language, framework, or tool without taking a formal course",40,94000.0,94000.0
United States,Employed full-time,Medium,Back-end developer,10,Received on-the-job training in software development,30,132000.0,132000.0
India,Employed full-time,High,Back-end developer,1,Taken a part-time in-person course in programming or software development,30,15000.0,2820.0
United States,Employed full-time,Medium,DevOps specialist,1,Participated in a full-time developer training program or bootcamp,30,95000.0,95000.0
United States,Employed full-time,Medium,System administrator,10,Taken an online course in programming or software development (e.g. a MOOC),40,108000.0,108000.0
United Kingdom,Employed full-time,Medium,Back-end developer,7,Taken an online course in programming or software development (e.g. a MOOC),30,115000.0,159740.0
India,Employed full-time,Medium,Front-end developer,1,Taken an online course in programming or software development (e.g. a MOOC),21,900000.0,12429.0
United States,Employed full-time,Medium,Back-end developer,30,Taken an online course in programming or software development (e.g. a MOOC),60,120000.0,120000.0
United States,Employed full-time,Medium,Back-end developer,1,Received on-the-job training in software development,21,40000.0,40000.0
United States,Employed full-time,Medium,Full-stack developer,13,Taken an online course in programming or software development (e.g. a MOOC),40,105000.0,105000.0
United States,Employed full-time,Medium,Back-end developer,1,"Taught yourself a new language, framework, or tool without taking a formal course",21,65000.0,65000.0
United States,Employed full-time,Medium,Full-stack developer,5,Taken an online course in programming or software development (e.g. a MOOC),30,70000.0,70000.0
United States,Employed full-time,High,Back-end developer,1,Taken an online course in programming or software development (e.g. a MOOC),21,80000.0,80000.0
United States,Employed full-time,Medium,Back-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),21,110000.0,110000.0
Canada,Employed full-time,Medium,Full-stack developer,5,Received on-the-job training in software development,30,55000.0,44287.0
United States,Employed full-time,Medium,Front-end developer,1,Taken an online course in programming or software development (e.g. a MOOC),21,65000.0,65000.0
United States,Employed full-time,Medium,Back-end developer,1,Taken an online course in programming or software development (e.g. a MOOC),21,150.0,7500.0
United States,Employed full-time,Medium,Back-end developer,19,Taken an online course in programming or software development (e.g. a MOOC),40,102000.0,102000.0
United States,Employed full-time,Medium,Back-end developer,5,Received on-the-job training in software development,30,85000.0,85000.0
United States,Employed full-time,Medium,Back-end developer,7,"Taught yourself a new language, framework, or tool without taking a formal course",30,112000.0,112000.0
United States,Employed full-time,Medium,Front-end developer,19,"Taught yourself a new language, framework, or tool without taking a formal course",40,192000.0,192000.0
United States,Employed full-time,Medium,Back-end developer,1,Taken an online course in programming or software development (e.g. a MOOC),21,24400.0,24400.0
United States,Employed full-time,Medium,Full-stack developer,13,Taken an online course in programming or software development (e.g. a MOOC),50,134000.0,134000.0
United States,Employed part-time,High,Back-end developer,7,Taken an online course in programming or software development (e.g. a MOOC),30,85000.0,85000.0
United States,Employed full-time,Medium,Back-end developer,5,Participated in a full-time developer training program or bootcamp,30,85000.0,85000.0
United States,Employed full-time,High,Back-end developer,7,Taken an online course in programming or software development (e.g. a MOOC),30,152000.0,152000.0
United States,Employed full-time,Medium,Back-end developer,5,"Taught yourself a new language, framework, or tool without taking a formal course",21,105000.0,105000.0
United States,Employed full-time,High,Back-end developer,16,"Taught yourself a new language, framework, or tool without taking a formal course",40,131304.0,131304.0
United States,Employed full-time,Medium,Back-end developer,1,Received on-the-job training in software development,21,85000.0,2000000.0
United States,Employed full-time,High,Back-end developer,1,Received on-the-job training in software development,21,103000.0,103000.0
United States,Employed full-time,Medium,Embedded applications or devices developer,5,Received on-the-job training in software development,30,78000.0,78000.0
United Kingdom,Employed full-time,Medium,Data scientist or machine learning specialist,1,Taken an online course in programming or software development (e.g. a MOOC),40,36000.0,50005.0
United States,Employed full-time,Medium,Back-end developer,22,Received on-the-job training in software development,50,300000.0,300000.0
United States,Employed full-time,Medium,Back-end developer,13,"Taught yourself a new language, framework, or tool without taking a formal course",40,100000.0,100000.0
India,Employed full-time,High,Full-stack developer,5,Contributed to open source software,30,10.0,0.0
United Kingdom,Employed full-time,High,Back-end developer,10,"Taught yourself a new language, framework, or tool without taking a formal course",30,100000.0,138904.0
United States,Employed full-time,Medium,Back-end developer,13,Taken an online course in programming or software development (e.g. a MOOC),30,92000.0,92000.0
United Kingdom,Employed full-time,Medium,DevOps specialist,28,Taken an online course in programming or software development (e.g. a MOOC),50,45000.0,62507.0
India,Employed full-time,Medium,Back-end developer,1,Taken an online course in programming or software development (e.g. a MOOC),21,700000.0,10958.0
United States,Employed full-time,Medium,Back-end developer,5,Taken a part-time in-person course in programming or software development,30,63500.0,63500.0
Germany,Employed full-time,Medium,Back-end developer,13,"Taught yourself a new language, framework, or tool without taking a formal course",30,5800.0,85176.0
United States,Employed full-time,Medium,Back-end developer,10,"Taught yourself a new language, framework, or tool without taking a formal course",40,110000.0,110000.0
India,Employed full-time,Medium,Back-end developer,10,"Taught yourself a new language, framework, or tool without taking a formal course",30,100000.0,18780.0
United States,Employed full-time,Medium,Full-stack developer,1,Participated in a full-time developer training program or bootcamp,50,67000.0,67000.0
Canada,Employed full-time,Medium,Back-end developer,7,"Taught yourself a new language, framework, or tool without taking a formal course",30,80000.0,64417.0
United States,Employed full-time,High,Back-end developer,5,"Taught yourself a new language, framework, or tool without taking a formal course",30,100000.0,100000.0
United States,Employed full-time,High,DevOps specialist,22,Taken an online course in programming or software development (e.g. a MOOC),50,145000.0,145000.0
Germany,Employed full-time,High,Desktop or enterprise applications developer,30,"Taught yourself a new language, framework, or tool without taking a formal course",30,100000.0,122388.0
United Kingdom,Employed full-time,High,Back-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),30,40000.0,55562.0
India,Employed full-time,Medium,Back-end developer,1,"Taught yourself a new language, framework, or tool without taking a formal course",30,35000.0,6576.0
United States,Employed full-time,Medium,Back-end developer,19,Received on-the-job training in software development,40,180000.0,180000.0
United States,Employed full-time,Medium,Back-end developer,19,Completed an industry certification program (e.g. MCPD),40,120000.0,120000.0
United States,Employed full-time,Medium,Mobile developer,7,Taken an online course in programming or software development (e.g. a MOOC),30,160000.0,160000.0
United States,Employed full-time,Low,Back-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),21,58000.0,58000.0
United States,Employed full-time,Medium,Back-end developer,25,"Taught yourself a new language, framework, or tool without taking a formal course",50,110000.0,110000.0
United Kingdom,Employed full-time,Medium,Mobile developer,5,"Taught yourself a new language, framework, or tool without taking a formal course",30,44600.0,61951.0
United States,Employed full-time,Medium,Mobile developer,5,Taken an online course in programming or software development (e.g. a MOOC),30,105000.0,105000.0
United States,Employed full-time,Medium,Full-stack developer,16,"Taught yourself a new language, framework, or tool without taking a formal course",40,85000.0,85000.0
Canada,Employed full-time,Medium,Back-end developer,5,Received on-the-job training in software development,30,40800.0,32853.0
United States,Employed full-time,Low,Back-end developer,1,"Taught yourself a new language, framework, or tool without taking a formal course",30,32000.0,32000.0
United States,Employed full-time,Medium,Back-end developer,13,Taken an online course in programming or software development (e.g. a MOOC),40,100000.0,100000.0
Germany,Employed full-time,High,Desktop or enterprise applications developer,5,Received on-the-job training in software development,30,59000.0,72209.0
United States,Employed full-time,Medium,Full-stack developer,7,"Taught yourself a new language, framework, or tool without taking a formal course",30,110000.0,110000.0
United States,Employed full-time,High,Back-end developer,13,Taken an online course in programming or software development (e.g. a MOOC),40,165000.0,165000.0
United States,Employed full-time,Low,Back-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),21,60000.0,60000.0
United States,Employed full-time,Medium,Back-end developer,7,Received on-the-job training in software development,30,117000.0,117000.0
Canada,Employed full-time,Medium,Back-end developer,7,"Taught yourself a new language, framework, or tool without taking a formal course",30,51500.0,41468.0
Germany,Employed full-time,High,Back-end developer,13,Taken an online course in programming or software development (e.g. a MOOC),40,4000.0,58752.0
Germany,Employed full-time,Medium,Back-end developer,5,"Taught yourself a new language, framework, or tool without taking a formal course",30,3150.0,46260.0
United Kingdom,Employed full-time,Medium,Student,0,Received on-the-job training in software development,21,14000.0,19447.0
Canada,Employed full-time,Low,Back-end developer,1,Completed an industry certification program (e.g. MCPD),21,45000.0,36235.0
India,Employed full-time,Medium,Back-end developer,0,Taken an online course in programming or software development (e.g. a MOOC),21,17290.0,3252.0
United States,Employed full-time,Medium,Embedded applications or devices developer,1,Received on-the-job training in software development,30,92000.0,92000.0
India,Employed full-time,Medium,Data scientist or machine learning specialist,5,Taken an online course in programming or software development (e.g. a MOOC),40,2500000.0,39136.0
Germany,Employed full-time,High,Back-end developer,19,Taken an online course in programming or software development (e.g. a MOOC),40,83000.0,1000000.0
India,Employed full-time,Medium,Back-end developer,1,Taken an online course in programming or software development (e.g. a MOOC),30,588000.0,110460.0
Canada,Employed full-time,Medium,Back-end developer,10,Taken an online course in programming or software development (e.g. a MOOC),30,100000.0,80521.0
United Kingdom,Employed full-time,High,Designer,10,"Taught yourself a new language, framework, or tool without taking a formal course",40,52000.0,72230.0
Canada,Employed full-time,Medium,Back-end developer,1,Received on-the-job training in software development,30,62500.0,50326.0
United States,Employed full-time,High,Back-end developer,10,Taken an online course in programming or software development (e.g. a MOOC),50,100000.0,100000.0
Germany,Employed part-time,Low,Back-end developer,5,"Taught yourself a new language, framework, or tool without taking a formal course",18,9000.0,11015.0
Germany,Employed full-time,Medium,Mobile developer,7,"Taught yourself a new language, framework, or tool without taking a formal course",40,60000.0,73433.0
United Kingdom,Employed full-time,Medium,Front-end developer,7,"Taught yourself a new language, framework, or tool without taking a formal course",30,42000.0,58340.0
United States,Employed full-time,High,Back-end developer,19,Taken an online course in programming or software development (e.g. a MOOC),40,100000.0,100000.0
United Kingdom,Employed full-time,Medium,Back-end developer,16,Taken an online course in programming or software development (e.g. a MOOC),40,150000.0,208356.0
United States,Employed full-time,Medium,Desktop or enterprise applications developer,10,Participated in a hackathon,40,101000.0,101000.0
India,Employed full-time,High,Embedded applications or devices developer,10,Taken an online course in programming or software development (e.g. a MOOC),30,2600000.0,40701.0
Germany,Employed full-time,Medium,Back-end developer,5,"Taught yourself a new language, framework, or tool without taking a formal course",21,2500.0,36720.0
United States,Employed full-time,High,Back-end developer,5,Received on-the-job training in software development,50,68000.0,68000.0
India,Employed full-time,Medium,DevOps specialist,1,Taken a part-time in-person course in programming or software development,21,40000.0,7512.0
United States,Employed full-time,Medium,Back-end developer,10,Taken an online course in programming or software development (e.g. a MOOC),30,125000.0,125000.0
India,Employed full-time,Medium,Full-stack developer,10,Taken a part-time in-person course in programming or software development,30,2000000.0,31309.0
Germany,Employed part-time,High,Back-end developer,7,Taken an online course in programming or software development (e.g. a MOOC),40,68680.0,84056.0
United States,Employed full-time,Medium,Front-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),30,5000.0,60000.0
United States,Employed full-time,Medium,Back-end developer,25,Taken an online course in programming or software development (e.g. a MOOC),40,140000.0,140000.0
Germany,Employed full-time,High,Back-end developer,13,"Taught yourself a new language, framework, or tool without taking a formal course",40,5000.0,73428.0
India,Employed full-time,Medium,Back-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),30,450000.0,7044.0
United States,Employed full-time,High,Back-end developer,19,Taken an online course in programming or software development (e.g. a MOOC),50,155000.0,155000.0
United States,Employed full-time,Medium,Back-end developer,22,Taken an online course in programming or software development (e.g. a MOOC),40,112000.0,112000.0
United States,Employed full-time,Medium,Back-end developer,10,"Taught yourself a new language, framework, or tool without taking a formal course",30,33000.0,33000.0
India,Employed part-time,Low,Back-end developer,1,"Taught yourself a new language, framework, or tool without taking a formal course",30,500.0,6000.0
United States,Employed full-time,Medium,Back-end developer,1,"Taught yourself a new language, framework, or tool without taking a formal course",21,680.0,34000.0
United States,Employed full-time,High,Back-end developer,7,"Taught yourself a new language, framework, or tool without taking a formal course",30,158000.0,158000.0
India,Employed full-time,Low,Back-end developer,1,Taken a part-time in-person course in programming or software development,30,156000.0,2442.0
United States,Employed full-time,High,Back-end developer,16,Taken an online course in programming or software development (e.g. a MOOC),40,200000.0,200000.0
United Kingdom,Employed full-time,Medium,Back-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),30,27000.0,37504.0
India,Employed full-time,Medium,Back-end developer,1,Taken an online course in programming or software development (e.g. a MOOC),21,900000.0,169068.0
United States,Employed full-time,Medium,Front-end developer,5,"Taught yourself a new language, framework, or tool without taking a formal course",30,50000.0,50000.0
India,Employed full-time,Medium,Data or business analyst,5,"Taught yourself a new language, framework, or tool without taking a formal course",21,650000.0,10175.0
United Kingdom,Employed full-time,Medium,Back-end developer,10,Taken an online course in programming or software development (e.g. a MOOC),30,45000.0,62507.0
United States,Employed full-time,High,Back-end developer,10,Taken an online course in programming or software development (e.g. a MOOC),30,135000.0,135000.0
Germany,Employed full-time,High,Back-end developer,10,Taken an online course in programming or software development (e.g. a MOOC),30,60000.0,73433.0
United States,Employed full-time,Medium,Back-end developer,19,Taken an online course in programming or software development (e.g. a MOOC),40,108000.0,108000.0
United States,Employed full-time,Medium,Full-stack developer,16,Taken an online course in programming or software development (e.g. a MOOC),40,133800.0,133800.0
United States,Employed full-time,Medium,Back-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),30,97000.0,97000.0
United Kingdom,Employed full-time,Medium,Back-end developer,5,Received on-the-job training in software development,30,31500.0,43755.0
Canada,Employed full-time,Medium,Back-end developer,5,Received on-the-job training in software development,30,76000.0,61196.0
United States,Employed full-time,High,Back-end developer,13,Taken an online course in programming or software development (e.g. a MOOC),40,173000.0,173000.0
United States,Employed full-time,Medium,Data or business analyst,1,Participated in a full-time developer training program or bootcamp,21,65000.0,65000.0
United Kingdom,Employed full-time,Medium,Back-end developer,1,Taken an online course in programming or software development (e.g. a MOOC),21,17500.0,24308.0
United Kingdom,Employed full-time,Medium,Data scientist or machine learning specialist,1,Taken a part-time in-person course in programming or software development,30,26000.0,36115.0
Germany,Employed full-time,High,Back-end developer,10,"Taught yourself a new language, framework, or tool without taking a formal course",40,3800.0,55812.0
India,Employed full-time,Medium,Mobile developer,5,"Taught yourself a new language, framework, or tool without taking a formal course",21,21000.0,3948.0
United States,Employed full-time,Medium,Embedded applications or devices developer,5,Received on-the-job training in software development,30,78000.0,78000.0
United States,Employed full-time,Medium,Back-end developer,13,Received on-the-job training in software development,40,125000.0,125000.0
India,Employed full-time,Medium,Back-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),30,700000.0,10958.0
United States,Employed full-time,Medium,Engineering manager,16,Taken an online course in programming or software development (e.g. a MOOC),40,97500.0,97500.0
Germany,Employed full-time,Medium,Back-end developer,10,Received on-the-job training in software development,30,3900.0,4773.0
United States,Employed full-time,Medium,Designer,1,Taken an online course in programming or software development (e.g. a MOOC),30,27000.0,27000.0
United States,Employed full-time,Medium,Back-end developer,1,Taken an online course in programming or software development (e.g. a MOOC),21,105000.0,105000.0
Canada,Employed full-time,High,Data scientist or machine learning specialist,7,Taken an online course in programming or software development (e.g. a MOOC),40,75000.0,60391.0
United States,Employed full-time,Medium,Back-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),40,75000.0,75000.0
Canada,Employed full-time,Medium,Back-end developer,19,Taken an online course in programming or software development (e.g. a MOOC),40,55000.0,44287.0
United States,Employed full-time,Medium,Back-end developer,10,Participated in a full-time developer training program or bootcamp,40,135000.0,135000.0
United States,Employed full-time,Medium,Full-stack developer,10,Taken an online course in programming or software development (e.g. a MOOC),40,85000.0,85000.0
United Kingdom,Employed full-time,Medium,Back-end developer,10,Taken a part-time in-person course in programming or software development,40,65000.0,90288.0
India,Employed full-time,Medium,Back-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),30,600000.0,9393.0
India,Employed full-time,Medium,Back-end developer,7,Participated in a full-time developer training program or bootcamp,30,1800000.0,28178.0
United States,Employed full-time,Medium,Back-end developer,1,Completed an industry certification program (e.g. MCPD),21,65000.0,65000.0
India,Employed full-time,Medium,DevOps specialist,7,Taken a part-time in-person course in programming or software development,30,956000.0,13202.359999999999
Germany,Employed full-time,High,Data scientist or machine learning specialist,5,"Taught yourself a new language, framework, or tool without taking a formal course",30,65000.0,79552.0
United Kingdom,Employed full-time,Low,Back-end developer,7,Received on-the-job training in software development,30,30000.0,41671.0
United Kingdom,Employed full-time,High,Back-end developer,7,Taken an online course in programming or software development (e.g. a MOOC),40,63000.0,1000000.0
India,Employed full-time,Medium,Back-end developer,10,Taken a part-time in-person course in programming or software development,30,1700000.0,26612.0
United States,Employed full-time,Medium,Back-end developer,7,Taken an online course in programming or software development (e.g. a MOOC),40,87500.0,87500.0
United States,Employed full-time,Medium,Full-stack developer,7,Taken an online course in programming or software development (e.g. a MOOC),40,85000.0,85000.0
United Kingdom,Employed full-time,High,Front-end developer,5,Received on-the-job training in software development,30,39000.0,54173.0
United States,Employed full-time,Medium,Back-end developer,7,Taken a part-time in-person course in programming or software development,30,100000.0,100000.0
United States,Employed full-time,Medium,Back-end developer,7,Received on-the-job training in software development,30,90000.0,90000.0
Germany,Employed part-time,High,Back-end developer,13,Taken a part-time in-person course in programming or software development,40,100000.0,122388.0
Germany,Employed part-time,Medium,Back-end developer,1,"Taught yourself a new language, framework, or tool without taking a formal course",21,450.0,6612.0
India,Employed full-time,Medium,Back-end developer,1,Taken an online course in programming or software development (e.g. a MOOC),21,3000000.0,46963.0
United States,Employed full-time,Medium,Back-end developer,1,Taken an online course in programming or software development (e.g. a MOOC),30,137000.0,137000.0
Canada,Employed full-time,Medium,Front-end developer,7,Taken an online course in programming or software development (e.g. a MOOC),30,80000.0,64417.0
India,Employed full-time,High,Full-stack developer,7,Taken an online course in programming or software development (e.g. a MOOC),40,1500000.0,23482.0
Canada,Employed full-time,Medium,Full-stack developer,7,"Taught yourself a new language, framework, or tool without taking a formal course",30,95000.0,76495.0
United States,Employed full-time,Medium,Back-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),21,105000.0,105000.0
Canada,Employed full-time,Low,Back-end developer,13,Taken an online course in programming or software development (e.g. a MOOC),40,105000.0,84547.0
United States,Employed full-time,Medium,Front-end developer,7,Taken a part-time in-person course in programming or software development,30,85000.0,85000.0
United States,Employed full-time,Medium,Back-end developer,10,Taken an online course in programming or software development (e.g. a MOOC),30,122000.0,122000.0
United States,Employed full-time,High,Desktop or enterprise applications developer,1,"Taught yourself a new language, framework, or tool without taking a formal course",30,153000.0,153000.0
United States,Employed full-time,High,Data scientist or machine learning specialist,1,Taken an online course in programming or software development (e.g. a MOOC),30,100000.0,100000.0
India,Employed full-time,Medium,Designer,1,Taken a part-time in-person course in programming or software development,21,23300.0,4380.0
India,Employed full-time,High,Back-end developer,7,Taken a part-time in-person course in programming or software development,30,3200000.0,50094.0
United States,Employed part-time,Medium,Full-stack developer,1,Participated in a full-time developer training program or bootcamp,21,1000.0,12000.0
United States,Employed full-time,Medium,Designer,1,Taken an online course in programming or software development (e.g. a MOOC),30,120000.0,120000.0
United States,Employed full-time,Medium,Back-end developer,16,"Taught yourself a new language, framework, or tool without taking a formal course",30,140000.0,2000000.0
United States,Employed full-time,Medium,Back-end developer,13,Taken an online course in programming or software development (e.g. a MOOC),40,120000.0,2000000.0
United Kingdom,Employed full-time,Medium,Back-end developer,10,Received on-the-job training in software development,30,57750.0,80217.0
United Kingdom,Employed full-time,Medium,DevOps specialist,5,Received on-the-job training in software development,30,50000.0,69452.0
Canada,Employed full-time,Medium,Back-end developer,7,Taken an online course in programming or software development (e.g. a MOOC),30,75000.0,60391.0
Germany,Employed full-time,Medium,DevOps specialist,1,Taken a part-time in-person course in programming or software development,30,75000.0,91791.0
India,Employed full-time,Medium,Back-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),30,62000.0,11652.0
United States,Employed full-time,Medium,Desktop or enterprise applications developer,5,Taken an online course in programming or software development (e.g. a MOOC),30,90000.0,1080000.0
United States,Employed full-time,Medium,Full-stack developer,13,Taken an online course in programming or software development (e.g. a MOOC),40,97000.0,97000.0
United States,Employed full-time,Medium,Back-end developer,16,Taken an online course in programming or software development (e.g. a MOOC),40,175000.0,175000.0
United Kingdom,Employed full-time,Medium,Back-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),21,28000.0,38893.0
United States,Employed full-time,High,Back-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),30,90000.0,90000.0
Canada,Employed full-time,Medium,Back-end developer,7,"Taught yourself a new language, framework, or tool without taking a formal course",30,122500.0,98639.0
United States,Employed full-time,Medium,Back-end developer,1,Received on-the-job training in software development,21,100000.0,100000.0
United States,Employed full-time,Medium,Back-end developer,1,Taken an online course in programming or software development (e.g. a MOOC),21,118000.0,118000.0
United States,Employed full-time,Medium,Back-end developer,13,Received on-the-job training in software development,40,145000.0,145000.0
Canada,Employed full-time,Medium,Front-end developer,7,Taken an online course in programming or software development (e.g. a MOOC),30,95000.0,76495.0
Canada,Employed full-time,Medium,Desktop or enterprise applications developer,5,"Taught yourself a new language, framework, or tool without taking a formal course",21,71000.0,57170.0
Germany,Employed full-time,High,Back-end developer,10,Completed an industry certification program (e.g. MCPD),30,54600.0,66824.0
United States,Employed full-time,Medium,Back-end developer,10,Received on-the-job training in software development,40,105600.0,105600.0
Canada,Employed full-time,Medium,Designer,1,Received on-the-job training in software development,30,95000.0,76495.0
United Kingdom,Employed full-time,Medium,Full-stack developer,13,Participated in a full-time developer training program or bootcamp,40,70000.0,97233.0
United States,Employed full-time,Medium,Back-end developer,7,Taken an online course in programming or software development (e.g. a MOOC),30,100000.0,100000.0
United States,Employed full-time,High,Back-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),30,80000.0,80000.0
United Kingdom,Employed full-time,High,Back-end developer,13,"Taught yourself a new language, framework, or tool without taking a formal course",40,48500.0,808416.0
United States,Employed full-time,High,Educator or academic researcher,1,Taken an online course in programming or software development (e.g. a MOOC),40,78000.0,78000.0
United Kingdom,Employed full-time,High,Back-end developer,10,Received on-the-job training in software development,40,55000.0,76397.0
United States,Employed full-time,Medium,Full-stack developer,7,Taken an online course in programming or software development (e.g. a MOOC),30,120000.0,120000.0
United Kingdom,Employed full-time,High,Back-end developer,7,Taken an online course in programming or software development (e.g. a MOOC),30,43298.0,60143.0
Germany,Employed full-time,High,Data scientist or machine learning specialist,5,"Taught yourself a new language, framework, or tool without taking a formal course",30,55000.0,67313.0
United States,Employed full-time,High,Desktop or enterprise applications developer,28,Taken an online course in programming or software development (e.g. a MOOC),50,130000.0,130000.0
United States,Employed full-time,High,Back-end developer,19,"Taught yourself a new language, framework, or tool without taking a formal course",50,118000.0,118000.0
India,Employed full-time,Medium,Back-end developer,1,"Taught yourself a new language, framework, or tool without taking a formal course",21,10000.0,1884.0
United States,Employed full-time,Medium,Back-end developer,13,Taken an online course in programming or software development (e.g. a MOOC),40,110000.0,110000.0
United Kingdom,Employed full-time,High,Back-end developer,13,Received on-the-job training in software development,40,65000.0,90288.0
United States,Employed full-time,Medium,Desktop or enterprise applications developer,30,"Taught yourself a new language, framework, or tool without taking a formal course",30,170000.0,170000.0
United States,Employed full-time,High,Back-end developer,7,Taken an online course in programming or software development (e.g. a MOOC),30,90000.0,90000.0
